time,open,high,low,close,vwap,volume,count,returns,volatility,bb_upper,bb_lower,macd,macd_signal,rsi
2025-04-30 15:05:00,93859.5,93859.5,93859.5,93859.5,0.0,0.0,0.0,0.0,0.0004970383439459056,93970.25643299126,93695.18356700875,-48.60868336757994,-66.66469512759056,46.47663853691835
2025-04-30 15:06:00,93859.5,93859.5,93859.5,93859.5,0.0,0.0,0.0,0.0,0.00020273949141665686,93949.21035869094,93704.77964130905,-42.943745255848626,-61.92050515324218,46.47663853691835
2025-04-30 15:07:00,93935.2,93935.2,93935.2,93935.2,93935.2,0.00104896,1.0,0.0008065246458801578,0.00029246330272835976,93938.81399920427,93711.29600079574,-31.977269581344444,-55.93185803886264,55.9664154414631
2025-04-30 15:08:00,93955.4,93971.7,93955.4,93963.5,93966.0,0.03983706,5.0,0.00030127151483161363,0.00028834789126267266,93951.70677520907,93703.90322479095,-20.76333827417693,-48.8981540859255,58.90019590984239
2025-04-30 15:09:00,94011.2,94011.2,94011.2,94011.2,94011.2,0.00051302,1.0,0.000507643925566903,0.00029358918846991017,93976.71268725304,93689.16731274697,-7.9357472127449,-40.70567271128938,63.33443021459609
2025-04-30 15:10:00,94011.2,94011.2,94011.2,94011.2,0.0,0.0,0.0,0.0,0.00029087784962515873,94002.5591781184,93691.1708218816,2.204795609883149,-32.123579047054875,63.33443021459608
2025-04-30 15:11:00,93992.8,94011.5,93992.8,94011.5,94009.1,0.05041163,3.0,3.1911091444847273e-06,0.00029063125985762155,94022.90863937917,93698.70136062085,10.148471090753446,-23.669169019493214,63.363261760535096
2025-04-30 15:12:00,94011.5,94011.5,94011.5,94011.5,0.0,0.0,0.0,0.0,0.00029063125985762155,94043.85012706467,93697.56987293532,16.256496369591332,-15.684035941676306,63.363261760535096
2025-04-30 15:13:00,94044.6,94044.6,94044.6,94044.6,94044.6,0.061737,1.0,0.0003520845853965948,0.0002844370826462645,94068.90769287039,93695.63230712962,23.497182883002097,-7.847792176740626,66.7126452950713
2025-04-30 15:14:00,94044.6,94044.6,94044.6,94044.6,0.0,0.0,0.0,0.0,0.00028568641604238533,94090.53602021608,93691.89397978391,28.90231125810533,-0.49777148977143515,66.7126452950713
2025-04-30 15:15:00,94031.9,94031.9,94031.9,94031.9,94031.9,5.317e-05,1.0,-0.00013504230971272957,0.00029892201506922703,94107.56561021825,93691.48438978173,31.7946219650039,5.960707201183633,64.10478904430917
2025-04-30 15:16:00,94043.5,94043.5,94043.5,94043.5,94043.5,8.747e-05,1.0,0.0001233623908483139,0.00029299131153654416,94118.60411843783,93710.46588156218,34.62370161325089,11.693306083597083,65.4339105589712
2025-04-30 15:17:00,94021.6,94021.6,94021.6,94021.6,94021.6,0.00130937,1.0,-0.00023287095865209828,0.0002298672049563405,94125.39502159895,93728.38497840105,34.69863636199443,16.294372139276554,60.85271386778837
2025-04-30 15:18:00,93999.9,93999.9,93999.9,93999.9,93999.9,0.010262,1.0,-0.00023079802938907878,0.00023748831701908286,94126.090150854,93750.22984914601,32.63086573652981,19.561670858727204,56.622472080117895
2025-04-30 15:19:00,93999.9,93999.9,93999.9,93999.9,0.0,0.0,0.0,0.0,0.00017110208111615057,94123.25501661157,93775.60498338845,30.6389558078954,21.777127848560845,56.62247208011789
2025-04-30 15:20:00,93999.9,93999.9,93999.9,93999.9,0.0,0.0,0.0,0.0,0.00017110208111615057,94122.8954091927,93793.9545908073,28.729180726382765,23.16753842412523,56.622472080117895
2025-04-30 15:21:00,93999.9,93999.9,93999.9,93999.9,0.0,0.0,0.0,0.0,0.00017107355942854715,94119.8621673948,93814.97783260523,26.90552012718399,23.915134764736983,56.622472080117895
2025-04-30 15:22:00,93999.9,93999.9,93999.9,93999.9,0.0,0.0,0.0,0.0,0.00017107355942854715,94113.45307171739,93839.37692828263,25.17011059644574,24.166129931078736,56.62247208011789
2025-04-30 15:23:00,93999.9,93999.9,93999.9,93999.9,0.0,0.0,0.0,0.0,0.00011467619161610133,94102.34148250162,93868.47851749838,23.523620387495612,24.037628022362114,56.62247208011789
2025-04-30 15:24:00,93889.3,93889.3,93889.3,93889.3,93889.3,0.1,5.0,-0.0011765969963797307,0.0003730414459835495,94097.98938743204,93875.81061256795,13.142767712270143,21.85865596034372,36.46712567269803
2025-04-30 15:25:00,93806.6,93806.6,93739.9,93739.9,93753.7,0.03271463,5.0,-0.0015912356360097135,0.0005843394454309957,94126.36228546068,93835.47771453935,-7.058102819195483,16.07530420443588,24.025936019270944
2025-04-30 15:26:00,93739.9,93739.9,93739.9,93739.9,0.0,0.0,0.0,0.0,0.0005753885337236529,94147.21879033712,93802.66120966288,-22.80456146557117,8.29933107043447,24.025936019270944
2025-04-30 15:27:00,93722.5,93722.5,93722.5,93722.5,93722.5,6e-05,1.0,-0.00018561999746102842,0.0005764053963948178,94168.40523493374,93760.20476506624,-36.26968363618653,-0.6144718708897301,22.967552398528184
2025-04-30 15:28:00,93722.5,93722.5,93722.5,93722.5,0.0,0.0,0.0,0.0,0.0005848625556466148,94181.97199523545,93722.53800476453,-46.405951050357544,-9.772767706783293,22.967552398528184
2025-04-30 15:29:00,93858.4,93862.4,93838.7,93838.7,93847.8,0.02372281,3.0,0.0012398303502361152,0.0007597072016611261,94176.77454829568,93710.4854517043,-44.549112687658635,-16.728036702958363,42.563861278683625
